datetime,pm10_cams,pm2_5_cams,carbon_monoxide_cams,nitrogen_dioxide_cams,sulphur_dioxide_cams,ozone_cams
2022-08-02 00:00:00+07:00,,,,,,
2022-08-02 01:00:00+07:00,,,,,,
2022-08-02 02:00:00+07:00,,,,,,
2022-08-02 03:00:00+07:00,,,,,,
2022-08-02 04:00:00+07:00,,,,,,
2022-08-02 05:00:00+07:00,,,,,,
2022-08-02 06:00:00+07:00,,,,,,
2022-08-02 07:00:00+07:00,,,,,,
2022-08-02 08:00:00+07:00,,,,,,
2022-08-02 09:00:00+07:00,,,,,,
2022-08-02 10:00:00+07:00,,,,,,
2022-08-02 11:00:00+07:00,,,,,,
2022-08-02 12:00:00+07:00,,,,,,
2022-08-02 13:00:00+07:00,,,,,,
2022-08-02 14:00:00+07:00,,,,,,
2022-08-02 15:00:00+07:00,,,,,,
2022-08-02 16:00:00+07:00,,,,,,
2022-08-02 17:00:00+07:00,,,,,,
2022-08-02 18:00:00+07:00,,,,,,
2022-08-02 19:00:00+07:00,,,,,,
2022-08-02 20:00:00+07:00,,,,,,
2022-08-02 21:00:00+07:00,,,,,,
2022-08-02 22:00:00+07:00,,,,,,
2022-08-02 23:00:00+07:00,,,,,,
2022-08-03 00:00:00+07:00,,,,,,
2022-08-03 01:00:00+07:00,,,,,,
2022-08-03 02:00:00+07:00,,,,,,
2022-08-03 03:00:00+07:00,,,,,,
2022-08-03 04:00:00+07:00,,,,,,
2022-08-03 05:00:00+07:00,,,,,,
2022-08-03 06:00:00+07:00,,,,,,
2022-08-03 07:00:00+07:00,,,,,,
2022-08-03 08:00:00+07:00,,,,,,
2022-08-03 09:00:00+07:00,,,,,,
2022-08-03 10:00:00+07:00,,,,,,
2022-08-03 11:00:00+07:00,,,,,,
2022-08-03 12:00:00+07:00,,,,,,
2022-08-03 13:00:00+07:00,,,,,,
2022-08-03 14:00:00+07:00,,,,,,
2022-08-03 15:00:00+07:00,,,,,,
2022-08-03 16:00:00+07:00,,,,,,
2022-08-03 17:00:00+07:00,,,,,,
2022-08-03 18:00:00+07:00,,,,,,
2022-08-03 19:00:00+07:00,,,,,,
2022-08-03 20:00:00+07:00,,,,,,
2022-08-03 21:00:00+07:00,,,,,,
2022-08-03 22:00:00+07:00,,,,,,
2022-08-03 23:00:00+07:00,,,,,,
2022-08-04 00:00:00+07:00,,,,,,
2022-08-04 01:00:00+07:00,,,,,,
2022-08-04 02:00:00+07:00,,,,,,
2022-08-04 03:00:00+07:00,,,,,,
2022-08-04 04:00:00+07:00,,,,,,
2022-08-04 05:00:00+07:00,,,,,,
2022-08-04 06:00:00+07:00,,,,,,
2022-08-04 07:00:00+07:00,47.4,33.1,691.0,28.65,10.25,30.0
2022-08-04 08:00:00+07:00,42.0,29.3,629.0,23.5,10.1,56.0
2022-08-04 09:00:00+07:00,41.0,28.6,540.0,16.2,9.85,92.0
2022-08-04 10:00:00+07:00,42.3,29.5,449.0,8.4,9.6,135.0
2022-08-04 11:00:00+07:00,46.6,32.5,427.0,6.0,9.5,155.0
2022-08-04 12:00:00+07:00,51.0,35.6,428.0,5.3,9.5,169.0
2022-08-04 13:00:00+07:00,55.1,38.4,443.0,5.7,9.65,181.0
2022-08-04 14:00:00+07:00,63.3,44.2,459.0,6.5,10.2,184.0
2022-08-04 15:00:00+07:00,68.5,47.8,483.0,8.1,10.9,183.0
2022-08-04 16:00:00+07:00,66.6,46.6,519.0,12.05,11.35,174.0
2022-08-04 17:00:00+07:00,64.5,45.1,549.0,17.55,10.8,159.0
2022-08-04 18:00:00+07:00,63.6,44.5,582.0,24.55,9.75,139.0
2022-08-04 19:00:00+07:00,58.9,41.1,663.0,38.9,7.0,97.0
2022-08-04 20:00:00+07:00,64.5,45.1,774.0,48.15,7.85,83.0
2022-08-04 21:00:00+07:00,65.9,46.2,932.0,61.2,9.1,62.0
2022-08-04 22:00:00+07:00,72.9,51.0,1080.0,73.25,10.25,40.0
2022-08-04 23:00:00+07:00,81.0,56.7,1084.0,73.45,10.15,34.0
2022-08-05 00:00:00+07:00,71.7,50.2,1035.0,69.15,9.6,33.0
2022-08-05 01:00:00+07:00,64.0,44.8,957.0,61.55,9.1,33.0
2022-08-05 02:00:00+07:00,57.2,39.9,904.0,55.2,9.3,33.0
2022-08-05 03:00:00+07:00,52.9,36.9,844.0,47.7,9.7,35.0
2022-08-05 04:00:00+07:00,51.8,36.2,793.0,40.05,10.15,36.0
2022-08-05 05:00:00+07:00,53.8,37.6,800.0,38.35,10.0,33.0
2022-08-05 06:00:00+07:00,54.6,38.2,831.0,38.7,9.75,29.0
2022-08-05 07:00:00+07:00,59.4,41.4,752.0,28.55,11.8,44.0
2022-08-05 08:00:00+07:00,52.4,36.7,692.0,24.75,11.55,56.0
2022-08-05 09:00:00+07:00,47.3,33.1,607.0,19.35,11.25,73.0
2022-08-05 10:00:00+07:00,39.8,27.8,521.0,14.05,11.0,93.0
2022-08-05 11:00:00+07:00,40.5,28.3,509.0,13.65,11.2,102.0
2022-08-05 12:00:00+07:00,46.6,32.6,522.0,14.9,11.65,108.0
2022-08-05 13:00:00+07:00,49.0,34.2,535.0,16.2,12.0,115.0
2022-08-05 14:00:00+07:00,51.9,36.3,517.0,14.4,11.95,121.0
2022-08-05 15:00:00+07:00,49.2,34.5,492.0,11.8,11.7,127.0
2022-08-05 16:00:00+07:00,46.6,32.6,495.0,13.45,11.35,124.0
2022-08-05 17:00:00+07:00,43.4,30.4,547.0,22.15,10.95,108.0
2022-08-05 18:00:00+07:00,43.9,30.7,627.0,35.0,10.5,83.0
2022-08-05 19:00:00+07:00,49.0,34.3,741.0,49.15,10.45,58.0
2022-08-05 20:00:00+07:00,55.1,38.5,845.0,59.45,11.65,46.0
2022-08-05 21:00:00+07:00,60.8,42.5,992.0,73.95,13.3,29.0
2022-08-05 22:00:00+07:00,62.6,43.8,1110.0,85.5,14.7,12.0
2022-08-05 23:00:00+07:00,61.0,42.7,1066.0,81.15,14.35,10.0
2022-08-06 00:00:00+07:00,56.7,39.7,955.0,70.2,13.3,14.0
2022-08-06 01:00:00+07:00,53.8,37.6,821.0,56.4,11.95,19.0
2022-08-06 02:00:00+07:00,52.7,36.9,771.0,50.5,11.35,20.0
2022-08-06 03:00:00+07:00,49.0,34.2,737.0,45.85,10.9,20.0
2022-08-06 04:00:00+07:00,51.0,35.6,711.0,41.15,10.5,21.0
2022-08-06 05:00:00+07:00,46.8,32.7,707.0,38.6,10.35,22.0
2022-08-06 06:00:00+07:00,40.2,28.1,716.0,37.0,10.4,23.0
2022-08-06 07:00:00+07:00,16.9,11.8,540.0,24.8,8.0,30.0
2022-08-06 08:00:00+07:00,13.7,9.6,538.0,25.0,8.9,32.0
2022-08-06 09:00:00+07:00,12.6,8.8,535.0,25.25,10.25,35.0
2022-08-06 10:00:00+07:00,14.4,10.0,523.0,24.2,11.75,47.0
2022-08-06 11:00:00+07:00,19.9,13.9,503.0,20.95,12.55,69.0
2022-08-06 12:00:00+07:00,26.4,18.5,476.0,16.4,13.25,97.0
2022-08-06 13:00:00+07:00,30.7,21.5,446.0,12.8,13.3,122.0
2022-08-06 14:00:00+07:00,32.9,23.1,429.0,13.5,12.2,119.0
2022-08-06 15:00:00+07:00,34.7,24.3,415.0,16.1,10.45,106.0
2022-08-06 16:00:00+07:00,33.5,23.5,419.0,21.6,8.6,86.0
2022-08-06 17:00:00+07:00,32.9,23.1,453.0,28.05,8.2,74.0
2022-08-06 18:00:00+07:00,33.2,23.2,504.0,36.1,8.25,61.0
2022-08-06 19:00:00+07:00,43.4,30.4,702.0,51.0,11.2,58.0
2022-08-06 20:00:00+07:00,45.2,31.5,733.0,53.9,11.55,51.0
2022-08-06 21:00:00+07:00,47.0,32.8,775.0,58.0,12.05,41.0
2022-08-06 22:00:00+07:00,44.8,31.3,800.0,60.1,12.45,31.0
2022-08-06 23:00:00+07:00,42.6,29.8,764.0,56.35,12.35,29.0
2022-08-07 00:00:00+07:00,38.9,27.2,701.0,49.8,12.1,29.0
2022-08-07 01:00:00+07:00,36.1,25.3,629.0,41.9,11.7,30.0
2022-08-07 02:00:00+07:00,35.2,24.6,611.0,38.7,11.55,29.0
2022-08-07 03:00:00+07:00,35.7,25.0,608.0,36.5,11.5,27.0
2022-08-07 04:00:00+07:00,37.5,26.2,586.0,33.05,11.2,26.0
2022-08-07 05:00:00+07:00,33.3,23.2,533.0,28.6,10.75,29.0
2022-08-07 06:00:00+07:00,29.0,20.3,463.0,23.5,10.15,33.0
2022-08-07 07:00:00+07:00,16.0,11.1,367.0,18.4,5.45,36.0
2022-08-07 08:00:00+07:00,11.9,8.2,369.0,19.75,5.65,36.0
2022-08-07 09:00:00+07:00,11.0,7.6,372.0,21.65,5.9,35.0
2022-08-07 10:00:00+07:00,15.3,10.6,375.0,23.2,6.6,36.0
2022-08-07 11:00:00+07:00,22.2,15.4,375.0,22.8,7.6,38.0
2022-08-07 12:00:00+07:00,28.3,19.7,374.0,21.55,8.85,42.0
2022-08-07 13:00:00+07:00,26.5,18.4,369.0,19.85,10.1,49.0
2022-08-07 14:00:00+07:00,23.7,16.5,349.0,17.3,10.3,60.0
2022-08-07 15:00:00+07:00,23.9,16.6,324.0,14.3,10.15,74.0
2022-08-07 16:00:00+07:00,21.6,15.0,341.0,16.8,10.1,82.0
2022-08-07 17:00:00+07:00,23.5,16.3,429.0,28.85,10.35,71.0
2022-08-07 18:00:00+07:00,27.4,19.1,559.0,46.35,10.8,52.0
2022-08-07 19:00:00+07:00,37.7,26.4,732.0,63.55,12.7,25.0
2022-08-07 20:00:00+07:00,42.1,29.4,774.0,63.45,12.4,23.0
2022-08-07 21:00:00+07:00,46.8,32.7,833.0,63.25,12.05,21.0
2022-08-07 22:00:00+07:00,46.1,32.1,862.0,60.1,11.45,20.0
2022-08-07 23:00:00+07:00,43.8,30.5,802.0,53.75,10.95,22.0
2022-08-08 00:00:00+07:00,42.4,29.6,700.0,45.1,10.45,26.0
2022-08-08 01:00:00+07:00,40.4,28.2,579.0,34.35,9.95,31.0
2022-08-08 02:00:00+07:00,39.7,27.6,529.0,28.15,9.9,35.0
2022-08-08 03:00:00+07:00,38.5,26.9,495.0,22.7,10.05,38.0
2022-08-08 04:00:00+07:00,36.8,25.7,460.0,17.2,10.05,43.0
2022-08-08 05:00:00+07:00,34.3,23.9,439.0,14.95,9.55,45.0
2022-08-08 06:00:00+07:00,31.1,21.6,424.0,13.95,8.8,45.0
2022-08-08 07:00:00+07:00,31.8,22.1,426.0,14.9,9.0,46.0
2022-08-08 08:00:00+07:00,29.0,20.0,421.0,16.0,9.3,48.0
2022-08-08 09:00:00+07:00,29.2,20.1,414.0,17.5,9.75,51.0
2022-08-08 10:00:00+07:00,31.0,21.2,399.0,18.25,10.25,59.0
2022-08-08 11:00:00+07:00,30.9,21.1,381.0,16.75,10.6,70.0
2022-08-08 12:00:00+07:00,34.7,23.7,359.0,14.2,10.9,83.0
2022-08-08 13:00:00+07:00,38.8,26.6,331.0,11.3,10.9,99.0
2022-08-08 14:00:00+07:00,36.6,25.1,306.0,9.0,10.3,110.0
2022-08-08 15:00:00+07:00,34.7,23.8,279.0,6.8,9.35,120.0
2022-08-08 16:00:00+07:00,35.9,24.6,286.0,9.35,8.05,120.0
2022-08-08 17:00:00+07:00,37.3,25.6,353.0,19.7,7.1,100.0
2022-08-08 18:00:00+07:00,36.8,25.3,453.0,34.65,6.15,70.0
2022-08-08 19:00:00+07:00,45.6,31.7,588.0,45.45,10.3,52.0
2022-08-08 20:00:00+07:00,48.5,33.6,610.0,44.25,11.45,52.0
2022-08-08 21:00:00+07:00,51.3,35.7,641.0,42.45,13.05,52.0
2022-08-08 22:00:00+07:00,52.6,36.6,645.0,38.05,13.65,52.0
2022-08-08 23:00:00+07:00,48.1,33.4,589.0,31.9,11.6,52.0
2022-08-09 00:00:00+07:00,39.8,27.8,502.0,24.1,8.25,53.0
2022-08-09 01:00:00+07:00,30.5,21.3,399.0,15.35,4.6,53.0
2022-08-09 02:00:00+07:00,25.6,17.8,353.0,11.6,3.6,53.0
2022-08-09 03:00:00+07:00,22.2,15.5,321.0,9.2,3.4,53.0
2022-08-09 04:00:00+07:00,21.4,14.9,294.0,7.6,3.4,53.0
2022-08-09 05:00:00+07:00,21.2,14.8,290.0,8.0,3.3,52.0
2022-08-09 06:00:00+07:00,20.1,14.0,299.0,9.55,3.35,50.0
2022-08-09 07:00:00+07:00,21.2,14.8,321.0,11.75,2.65,43.0
2022-08-09 08:00:00+07:00,18.6,12.9,294.0,10.2,2.8,49.0
2022-08-09 09:00:00+07:00,17.2,11.8,256.0,8.0,3.1,59.0
2022-08-09 10:00:00+07:00,18.5,12.6,220.0,5.75,3.85,73.0
2022-08-09 11:00:00+07:00,21.2,14.5,214.0,4.95,4.85,86.0
2022-08-09 12:00:00+07:00,24.7,16.9,220.0,4.65,6.15,100.0
2022-08-09 13:00:00+07:00,28.8,19.7,241.0,5.8,8.2,113.0
2022-08-09 14:00:00+07:00,33.3,22.9,267.0,7.9,10.35,117.0
2022-08-09 15:00:00+07:00,38.4,26.4,302.0,11.0,12.85,117.0
2022-08-09 16:00:00+07:00,39.8,27.4,361.0,17.85,14.55,108.0
2022-08-09 17:00:00+07:00,34.6,23.9,408.0,26.4,13.25,89.0
2022-08-09 18:00:00+07:00,35.9,24.8,461.0,37.1,10.65,63.0
2022-08-09 19:00:00+07:00,68.0,47.1,611.0,41.9,18.25,95.0
2022-08-09 20:00:00+07:00,79.9,55.6,644.0,40.35,16.8,85.0
2022-08-09 21:00:00+07:00,81.5,56.8,689.0,38.15,14.7,70.0
2022-08-09 22:00:00+07:00,85.2,59.5,709.0,34.1,11.95,53.0
2022-08-09 23:00:00+07:00,83.8,58.4,659.0,29.75,10.1,46.0
2022-08-10 00:00:00+07:00,68.0,47.5,575.0,24.6,8.25,41.0
2022-08-10 01:00:00+07:00,54.2,37.8,475.0,18.9,6.45,39.0
2022-08-10 02:00:00+07:00,47.5,33.2,434.0,16.75,5.95,41.0
2022-08-10 03:00:00+07:00,38.6,27.0,406.0,15.65,6.0,46.0
2022-08-10 04:00:00+07:00,31.9,22.2,372.0,14.05,5.75,52.0
2022-08-10 05:00:00+07:00,24.8,17.3,344.0,12.05,4.85,53.0
2022-08-10 06:00:00+07:00,21.6,15.0,317.0,9.8,3.65,52.0
2022-08-10 07:00:00+07:00,22.9,15.9,261.0,6.0,3.15,62.0
2022-08-10 08:00:00+07:00,19.7,13.7,242.0,5.15,3.15,67.0
2022-08-10 09:00:00+07:00,19.3,13.3,215.0,3.9,3.2,75.0
2022-08-10 10:00:00+07:00,19.3,13.2,195.0,3.4,3.95,84.0
2022-08-10 11:00:00+07:00,20.2,13.9,192.0,3.55,5.0,89.0
2022-08-10 12:00:00+07:00,22.7,15.6,199.0,4.25,6.5,94.0
2022-08-10 13:00:00+07:00,24.3,16.7,261.0,9.75,10.45,92.0
2022-08-10 14:00:00+07:00,29.6,20.4,389.0,21.0,16.9,79.0
2022-08-10 15:00:00+07:00,31.8,22.1,562.0,36.15,25.15,59.0
2022-08-10 16:00:00+07:00,39.2,27.3,732.0,51.0,31.85,38.0
2022-08-10 17:00:00+07:00,39.7,27.6,763.0,53.7,30.05,34.0
2022-08-10 18:00:00+07:00,39.8,27.8,744.0,52.1,24.7,35.0
2022-08-10 19:00:00+07:00,41.8,29.1,615.0,40.6,16.45,46.0
2022-08-10 20:00:00+07:00,42.7,29.8,573.0,35.9,14.25,46.0
2022-08-10 21:00:00+07:00,38.6,27.0,511.0,29.2,11.1,46.0
2022-08-10 22:00:00+07:00,33.3,23.3,427.0,20.65,7.3,46.0
2022-08-10 23:00:00+07:00,28.9,20.1,366.0,15.55,5.4,47.0
2022-08-11 00:00:00+07:00,24.0,16.8,303.0,10.9,3.95,49.0
2022-08-11 01:00:00+07:00,20.1,14.0,236.0,6.2,2.5,50.0
2022-08-11 02:00:00+07:00,16.6,11.6,207.0,4.3,1.9,50.0
2022-08-11 03:00:00+07:00,14.6,10.2,190.0,3.5,1.6,49.0
2022-08-11 04:00:00+07:00,13.6,9.5,179.0,3.3,1.45,47.0
2022-08-11 05:00:00+07:00,13.0,9.1,178.0,3.7,1.3,45.0
2022-08-11 06:00:00+07:00,12.8,9.0,184.0,4.65,1.25,43.0
2022-08-11 07:00:00+07:00,15.1,10.6,201.0,7.05,2.25,37.0
2022-08-11 08:00:00+07:00,18.3,12.8,205.0,8.55,2.6,36.0
2022-08-11 09:00:00+07:00,21.3,14.9,213.0,10.75,3.2,34.0
