location_id,name,start_date,end_date,lat,lon
2539,US Diplomatic Post: Hanoi,2016-01-30 01:00:00+00:00,2016-11-09 16:00:00+00:00,21.02177,105.819002
7441,Hanoi,2016-11-09 18:00:00+00:00,2025-04-09 15:00:00+00:00,21.021939,105.818806
1285357,SPARTAN - Vietnam Acad. Sci.,2019-11-28 03:00:00+00:00,2020-06-23 14:00:00+00:00,21.0478,105.8
2161290,An Khánh,2024-01-29 06:00:00+00:00,2025-06-10 03:00:00+00:00,21.0024,105.7181
2161291,Cầu Diễn,2024-01-22 01:00:00+00:00,2024-12-11 14:00:00+00:00,21.0398,105.7652
2161292,"Số 46, phố Lưu Quang Vũ",2024-01-29 16:00:00+00:00,2025-10-11 10:00:00+00:00,21.0152,105.7999
2161293,Chúc Sơn,2024-01-09 21:00:00+00:00,2025-02-05 08:00:00+00:00,20.92,105.7123
2161294,Cung thiếu nhi,2024-01-29 06:00:00+00:00,2025-02-05 03:00:00+00:00,21.0284,105.8556
2161295,Đầm Trấu,2024-01-29 06:00:00+00:00,2024-01-30 08:00:00+00:00,21.0119,105.8644
2161296,Đào Duy Từ,2024-01-15 07:00:00+00:00,2025-06-10 03:00:00+00:00,21.0354,105.8529
2161298,Đông Kinh Nghĩa Thục,2024-01-29 06:00:00+00:00,2024-04-15 09:00:00+00:00,21.032,105.8515
2161299,Hàng Đậu,2024-01-29 07:00:00+00:00,2024-11-26 18:00:00+00:00,21.0399,105.8473
2161300,Hoàn Kiếm,2024-01-29 06:00:00+00:00,2024-01-31 23:00:00+00:00,21.0263,105.8515
2161301,Khương Trung,2024-01-29 06:00:00+00:00,2024-12-11 15:00:00+00:00,20.9949,105.8167
2161303,Kim Liên,2024-01-29 06:00:00+00:00,2024-03-22 06:00:00+00:00,21.0074,105.8358
2161304,Lê Trực,2024-01-29 06:00:00+00:00,2024-01-31 00:00:00+00:00,21.0327,105.8329
2161306,Minh Khai - Bắc Từ Liêm,2024-01-29 16:00:00+00:00,2025-08-18 07:00:00+00:00,21.05,105.74
2161307,Mỹ Đình,2024-01-28 22:00:00+00:00,2024-01-30 04:00:00+00:00,21.0269,105.7731
2161308,Phạm Văn Đồng,2024-01-22 07:00:00+00:00,2024-01-22 08:00:00+00:00,21.05,105.782
2161309,Pháp Vân,2024-01-29 06:00:00+00:00,2025-02-05 04:00:00+00:00,20.9481,105.8493
2161313,Tân Mai,2024-01-29 06:00:00+00:00,2024-03-01 04:00:00+00:00,20.9883,105.8549
2161314,Tây Hồ Tây,2024-01-29 06:00:00+00:00,2024-03-22 09:00:00+00:00,21.0563,105.7974
2161315,Tây Mỗ,2024-01-29 06:00:00+00:00,2024-02-07 00:00:00+00:00,21.0058,105.7485
2161316,Thành Công,2024-01-29 06:00:00+00:00,2024-02-27 00:00:00+00:00,21.0197,105.8147
2161318,Tứ Liên,2024-01-29 06:00:00+00:00,2024-03-22 04:00:00+00:00,21.0639,105.8338
2161320,Vân Hà,2024-01-29 15:00:00+00:00,2025-06-10 03:00:00+00:00,21.1476,105.9159
2161321,Văn Quán,2024-01-29 06:00:00+00:00,2024-04-05 00:00:00+00:00,20.972,105.7856
2161322,Võng La,2024-01-15 07:00:00+00:00,2024-01-15 09:00:00+00:00,21.1105,105.7605
4946811,556 Nguyễn Văn Cừ,2025-07-03 15:40:00+00:00,2025-10-11 10:50:00+00:00,21.0491,105.8831
4946812,"Công viên hồ điều hòa Nhân Chính, Khuất Duy Tiến",2025-07-03 15:40:00+00:00,2025-10-11 10:50:00+00:00,21.0031,105.79470000000002
4946813,ĐH Bách Khoa - cổng Parabol đường Giải Phóng,2025-07-03 15:40:00+00:00,2025-10-11 10:50:00+00:00,21.0052,105.84180000000002
