time,temp_ref,rhum_ref,prcp_ref,wdir_ref,wspd_ref,pres_ref
2022-01-01 00:00:00,16.0,82.0,,360.0,5.4,1024.0
2022-01-01 01:00:00,16.0,82.0,,10.0,5.4,1025.0
2022-01-01 02:00:00,17.0,77.0,,350.0,7.6,1026.0
2022-01-01 03:00:00,17.0,77.0,,219.0,3.6,1026.0
2022-01-01 04:00:00,17.0,77.0,,10.0,11.2,1026.0
2022-01-01 05:00:00,17.0,77.0,,50.0,13.0,1025.0
2022-01-01 06:00:00,17.0,77.0,,30.0,13.0,1024.0
2022-01-01 07:00:00,17.0,77.0,,20.0,14.8,1023.0
2022-01-01 08:00:00,16.0,82.0,,30.0,14.8,1023.0
2022-01-01 09:00:00,16.0,82.0,,20.0,16.6,1022.0
2022-01-01 10:00:00,16.0,82.0,,10.0,9.4,1023.0
2022-01-01 11:00:00,16.0,77.0,,20.0,13.0,1023.0
2022-01-01 12:00:00,16.0,77.0,,20.0,11.2,1024.0
2022-01-01 13:00:00,16.0,77.0,,30.0,11.2,1025.0
2022-01-01 14:00:00,16.0,77.0,,40.0,11.2,1025.0
2022-01-01 15:00:00,16.0,77.0,,40.0,9.4,1025.0
2022-01-01 16:00:00,16.0,77.0,,30.0,11.2,1025.0
2022-01-01 17:00:00,16.0,77.0,,20.0,11.2,1025.0
2022-01-01 18:00:00,16.0,77.0,,20.0,9.4,1024.0
2022-01-01 19:00:00,16.0,77.0,,10.0,9.4,1024.0
2022-01-01 20:00:00,16.0,72.0,,360.0,7.6,1023.0
2022-01-01 21:00:00,16.0,72.0,,20.0,5.4,1023.0
2022-01-01 22:00:00,16.0,72.0,,68.0,3.6,1023.0
2022-01-01 23:00:00,15.0,82.0,,20.0,9.4,1024.0
2022-01-02 00:00:00,15.0,77.0,,20.0,9.4,1024.0
2022-01-02 01:00:00,16.0,77.0,,10.0,9.4,1025.0
2022-01-02 02:00:00,16.0,72.0,,30.0,9.4,1025.0
2022-01-02 03:00:00,17.0,68.0,,20.0,11.2,1026.0
2022-01-02 04:00:00,17.0,72.0,,30.0,11.2,1025.0
2022-01-02 05:00:00,19.0,64.0,,350.0,11.2,1024.0
2022-01-02 06:00:00,20.0,64.0,,206.0,7.6,1022.0
2022-01-02 07:00:00,22.0,60.0,,270.0,5.4,1021.0
2022-01-02 08:00:00,22.0,60.0,,270.0,7.6,1020.0
2022-01-02 09:00:00,21.0,64.0,,260.0,7.6,1020.0
2022-01-02 10:00:00,20.0,68.0,,190.0,7.6,1020.0
2022-01-02 11:00:00,20.0,64.0,,170.0,5.4,1020.0
2022-01-02 12:00:00,17.0,82.0,,76.0,3.6,1021.0
2022-01-02 13:00:00,16.0,88.0,,68.0,1.8,1021.0
2022-01-02 14:00:00,16.0,88.0,,310.0,3.6,1022.0
2022-01-02 15:00:00,15.0,94.0,,30.0,3.6,1022.0
2022-01-02 16:00:00,15.0,94.0,,0.0,0.0,1022.0
2022-01-02 17:00:00,14.0,100.0,,330.0,3.6,1022.0
2022-01-02 18:00:00,14.0,94.0,,350.0,1.8,1022.0
2022-01-02 19:00:00,13.0,100.0,,350.0,1.8,1021.0
2022-01-02 20:00:00,13.0,100.0,,38.0,3.6,1020.0
2022-01-02 21:00:00,13.0,100.0,,0.0,0.0,1020.0
2022-01-02 22:00:00,13.0,100.0,,230.0,3.6,1020.0
2022-01-02 23:00:00,13.0,94.0,,260.0,5.4,1021.0
2022-01-03 00:00:00,13.0,100.0,,0.0,0.0,1021.0
2022-01-03 01:00:00,14.0,94.0,,0.0,0.0,1022.0
2022-01-03 02:00:00,16.0,88.0,,50.0,1.8,1023.0
2022-01-03 03:00:00,16.0,88.0,,235.0,3.6,1023.0
2022-01-03 04:00:00,17.0,82.0,,181.0,3.6,1022.0
2022-01-03 05:00:00,18.0,78.0,,300.0,5.4,1021.0
2022-01-03 06:00:00,20.0,68.0,,180.0,3.6,1019.0
2022-01-03 07:00:00,20.0,68.0,,178.0,3.6,1018.0
2022-01-03 08:00:00,20.0,68.0,,120.0,7.6,1017.0
2022-01-03 09:00:00,20.0,68.0,,140.0,5.4,1018.0
2022-01-03 10:00:00,20.0,68.0,,183.0,3.6,1018.0
2022-01-03 11:00:00,19.0,78.0,,350.0,1.8,1019.0
2022-01-03 12:00:00,19.0,78.0,,50.0,3.6,1019.0
2022-01-03 13:00:00,19.0,78.0,,60.0,3.6,1020.0
2022-01-03 14:00:00,18.0,83.0,,320.0,3.6,1020.0
2022-01-03 15:00:00,18.0,83.0,,310.0,3.6,1021.0
2022-01-03 16:00:00,17.0,88.0,,0.0,0.0,1020.0
2022-01-03 17:00:00,16.0,94.0,,270.0,3.6,1020.0
2022-01-03 18:00:00,17.0,88.0,,40.0,3.6,1019.0
2022-01-03 19:00:00,17.0,88.0,,0.0,0.0,1019.0
2022-01-03 20:00:00,17.0,88.0,,80.0,3.6,1018.0
